scrap_regime,h2_start_year,grid_ef_scenario,status,lifetime_avg_emis
starved,2030,bau,solved,1.801
starved,2030,moderate_re,solved,1.801
starved,2030,aggressive_re,solved,1.801
starved,2035,bau,solved,1.801
starved,2035,moderate_re,solved,1.801
starved,2035,aggressive_re,solved,1.801
starved,2040,bau,infeasible,
starved,2040,moderate_re,solved,1.801
starved,2040,aggressive_re,solved,1.801
starved,2045,bau,infeasible,
starved,2045,moderate_re,infeasible,
starved,2045,aggressive_re,solved,1.801
low,2030,bau,solved,1.801
low,2030,moderate_re,solved,1.801
low,2030,aggressive_re,solved,1.801
low,2035,bau,solved,1.801
low,2035,moderate_re,solved,1.801
low,2035,aggressive_re,solved,1.801
low,2040,bau,solved,1.801
low,2040,moderate_re,solved,1.801
low,2040,aggressive_re,solved,1.801
low,2045,bau,infeasible,
low,2045,moderate_re,solved,1.801
low,2045,aggressive_re,solved,1.801
modest,2030,bau,solved,1.801
modest,2030,moderate_re,solved,1.801
modest,2030,aggressive_re,solved,1.801
modest,2035,bau,solved,1.801
modest,2035,moderate_re,solved,1.801
modest,2035,aggressive_re,solved,1.801
modest,2040,bau,solved,1.801
modest,2040,moderate_re,solved,1.801
modest,2040,aggressive_re,solved,1.801
modest,2045,bau,solved,1.801
modest,2045,moderate_re,solved,1.801
modest,2045,aggressive_re,solved,1.801
optimistic,2030,bau,solved,1.801
optimistic,2030,moderate_re,solved,1.801
optimistic,2030,aggressive_re,solved,1.801
optimistic,2035,bau,solved,1.801
optimistic,2035,moderate_re,solved,1.801
optimistic,2035,aggressive_re,solved,1.801
optimistic,2040,bau,solved,1.801
optimistic,2040,moderate_re,solved,1.801
optimistic,2040,aggressive_re,solved,1.801
optimistic,2045,bau,solved,1.801
optimistic,2045,moderate_re,solved,1.801
optimistic,2045,aggressive_re,solved,1.801
